codigo,tipo,nombre,direccion,comuna_codigo,comuna,region_codigo,region,servicio_salud,dependencia
115443,PSR,Posta de Salud Rural Quinahue,Calle Aldea Quinahue,06310,Santa Cruz,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
116549,PSR,Posta de Salud Rural Boyeruca,Calle Caserío Boyecura,07309,Vichuquén,07,Maule,Servicio de Salud Del Maule,Municipal
115434,PSR,Posta de Salud Rural Puente Negro,"Calle Camino Internacional, Aldea Puente Negro",06301,San Fernando,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115442,PSR,Posta de Salud Rural Puquillay Bajo,Calle Aldea Puquillay Bajo,06305,Nancagua,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115471,PSR,Posta de Salud Rural Puquillay Alto,Calle Ignacio Valdés,06305,Nancagua,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115450,PSR,Posta de Salud Rural Guindo Alto,"Calle Guindo Alto, Caserío Camino al Guindo",06310,Santa Cruz,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115473,PSR,Posta de Salud Rural Nilahue Cornejo,Calle Aldea Nilahue Cornejo,06309,Pumanque,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115435,PSR,Posta de Salud Rural La Dehesa,Calle Aldea La Dehesa,06308,Placilla,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115437,PSR,Posta de Salud Rural Tinguiririca,"Calle Manuel Rodríguez, Pueblo Tinguiririca",06303,Chimbarongo,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115328,CESFAM,Centro de Salud Familiar Cunaco,Calle Pueblo de Cunaco,06305,Nancagua,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115436,PSR,Posta de Salud Rural Agua Buena,Calle J. Fernández,06301,San Fernando,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115467,PSR,Posta de Salud Rural Bucalemu (Paredones),Calle Pueblo de Bucalemu,06206,Paredones,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115316,CESFAM,Centro de Salud Familiar Paredones,Avenida Dr. Moore 84,06206,Paredones,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
115601,COSAM,COSAM Santa Cruz,Pasaje Los Língues 125,06310,Santa Cruz,06,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,Municipal
